"","Species","Quad","Year","totPsize","Gcov","year","NRquad"
"1","Bouteloua curtipendula","e1q1-1",69,114.755497041078,919.228692425924,70,1
"2","Bouteloua curtipendula","e1q1-1",70,88.861894465524,962.369717430572,71,1
"3","Bouteloua curtipendula","e1q1-1",72,61.0697687784431,729.790880864145,73,0
"4","Bouteloua curtipendula","e1q1-3",57,109.868185225269,376.131747273041,58,1
"5","Bouteloua curtipendula","e1q1-3",58,119.726852414143,565.150718562817,59,1
"6","Bouteloua curtipendula","e1q1-3",59,277.841658750701,603.769055744085,60,0
"7","Bouteloua curtipendula","e1q1-3",60,548.328044892325,676.214526694787,61,0
"8","Bouteloua curtipendula","e1q1-3",61,1109.32690803919,712.140681512789,62,1
"9","Bouteloua curtipendula","e1q1-3",62,993.754041962813,929.571813305701,63,0
"10","Bouteloua curtipendula","e1q1-3",63,1377.01480926602,709.906524286261,64,1
"11","Bouteloua curtipendula","e1q1-3",64,1777.20172121479,704.15989481635,65,3
"12","Bouteloua curtipendula","e1q1-3",65,979.489998996902,1017.8856146598,66,0
"13","Bouteloua curtipendula","e1q1-3",66,3826.63646139267,902.752142779239,67,1
"14","Bouteloua curtipendula","e1q1-3",67,1001.40391045683,531.486462469618,68,0
"15","Bouteloua curtipendula","e1q1-3",68,1628.01187736627,956.665486695544,69,1
"16","Bouteloua curtipendula","e1q1-3",69,2469.50500218152,919.228692425924,70,2
"17","Bouteloua curtipendula","e1q1-3",70,7761.96330102955,962.369717430572,71,0
"18","Bouteloua curtipendula","e1q1-3",71,1387.32310703094,879.792318348958,72,0
"19","Bouteloua curtipendula","e1q1-3",72,1757.63074294012,729.790880864145,73,3
"20","Bouteloua curtipendula","e1q2-1",66,31.7461655418744,902.752142779239,67,1
"21","Bouteloua curtipendula","e1q2-1",68,127.049623589248,956.665486695544,69,0
"22","Bouteloua curtipendula","e1q2-1",70,244.054864902047,962.369717430572,71,4
"23","Bouteloua curtipendula","e1q2-1",72,257.971896982793,729.790880864145,73,1
"24","Bouteloua curtipendula","e1q2-2",65,45.5897415484056,1017.8856146598,66,1
"25","Bouteloua curtipendula","e1q2-2",69,304.290997284832,919.228692425924,70,3
"26","Bouteloua curtipendula","e1q2-2",70,380.471067232195,962.369717430572,71,2
"27","Bouteloua curtipendula","e1q2-2",71,155.454045234375,879.792318348958,72,0
"28","Bouteloua curtipendula","e1q2-2",72,90.7185914392881,729.790880864145,73,0
"29","Bouteloua curtipendula","e1q2-3",51,57.4733772968304,718.259165827061,52,1
"30","Bouteloua curtipendula","e1q2-3",52,76.9858542773542,572.377513855412,53,0
"31","Bouteloua curtipendula","e1q2-3",53,52.4218607307744,573.863821676448,54,0
"32","Bouteloua curtipendula","e1q2-3",54,22.2760521002529,694.144746408609,55,0
"33","Bouteloua curtipendula","e1q2-3",55,124.401890818183,690.340638634145,56,1
"34","Bouteloua curtipendula","e1q2-3",56,90.7848018999496,359.320647127151,57,1
"35","Bouteloua curtipendula","e1q2-3",57,148.409981975325,376.131747273041,58,1
"36","Bouteloua curtipendula","e1q2-3",59,422.595385402588,603.769055744085,60,4
"37","Bouteloua curtipendula","e1q2-3",60,440.93365738526,676.214526694787,61,0
"38","Bouteloua curtipendula","e1q2-3",61,1244.99659825651,712.140681512789,62,1
"39","Bouteloua curtipendula","e1q2-3",62,1650.22960392677,929.571813305701,63,3
"40","Bouteloua curtipendula","e1q2-3",63,707.390868938603,709.906524286261,64,0
"41","Bouteloua curtipendula","e1q2-3",64,1735.21562139708,704.15989481635,65,2
"42","Bouteloua curtipendula","e1q2-3",65,2190.96748467453,1017.8856146598,66,0
"43","Bouteloua curtipendula","e1q2-3",66,2330.39731006267,902.752142779239,67,0
"44","Bouteloua curtipendula","e1q2-3",67,911.208713302536,531.486462469618,68,1
"45","Bouteloua curtipendula","e1q2-3",68,2095.58604262105,956.665486695544,69,2
"46","Bouteloua curtipendula","e1q2-3",69,4053.12663289522,919.228692425924,70,1
"47","Bouteloua curtipendula","e1q2-3",70,3082.32260152768,962.369717430572,71,3
"48","Bouteloua curtipendula","e1q2-3",71,2225.1931308513,879.792318348958,72,0
"49","Bouteloua curtipendula","e1q2-3",72,2249.23007423377,729.790880864145,73,4
"50","Bouteloua curtipendula","e1q2-4",55,2.44702083084909,690.340638634145,56,1
"51","Bouteloua curtipendula","e1q2-4",56,21.4167059408283,359.320647127151,57,0
"52","Bouteloua curtipendula","e1q2-4",57,80.8687429200784,376.131747273041,58,1
"53","Bouteloua curtipendula","e1q2-4",58,126.243565150746,565.150718562817,59,0
"54","Bouteloua curtipendula","e1q2-4",59,246.570592329767,603.769055744085,60,1
"55","Bouteloua curtipendula","e1q2-4",60,329.086178363735,676.214526694787,61,1
"56","Bouteloua curtipendula","e1q2-4",61,482.624271705251,712.140681512789,62,0
